scenario,epochs,method,seed,position,dateIndex,dateColumn
uniform_160,160,uniform,20276824,18,28,D20180221
uniform_160,160,uniform,20276824,19,30,D20180317
uniform_160,160,uniform,20276824,20,31,D20180329
uniform_160,160,uniform,20276824,21,33,D20180422
uniform_160,160,uniform,20276824,22,34,D20180504
uniform_160,160,uniform,20276824,23,36,D20180528
uniform_160,160,uniform,20276824,24,37,D20180609
uniform_160,160,uniform,20276824,25,39,D20180703
uniform_160,160,uniform,20276824,26,40,D20180715
uniform_160,160,uniform,20276824,27,42,D20180808
uniform_160,160,uniform,20276824,28,43,D20180820
uniform_160,160,uniform,20276824,29,45,D20180913
uniform_160,160,uniform,20276824,30,47,D20181007
uniform_160,160,uniform,20276824,31,48,D20181019
uniform_160,160,uniform,20276824,32,50,D20181112
uniform_160,160,uniform,20276824,33,51,D20181124
uniform_160,160,uniform,20276824,34,53,D20181218
uniform_160,160,uniform,20276824,35,54,D20181230
uniform_160,160,uniform,20276824,36,56,D20190123
uniform_160,160,uniform,20276824,37,57,D20190204
uniform_160,160,uniform,20276824,38,59,D20190228
uniform_160,160,uniform,20276824,39,61,D20190324
uniform_160,160,uniform,20276824,40,62,D20190405
uniform_160,160,uniform,20276824,41,64,D20190429
uniform_160,160,uniform,20276824,42,65,D20190511
uniform_160,160,uniform,20276824,43,67,D20190604
uniform_160,160,uniform,20276824,44,68,D20190616
uniform_160,160,uniform,20276824,45,70,D20190710
uniform_160,160,uniform,20276824,46,71,D20190722
uniform_160,160,uniform,20276824,47,73,D20190815
uniform_160,160,uniform,20276824,48,75,D20190908
uniform_160,160,uniform,20276824,49,76,D20190920
uniform_160,160,uniform,20276824,50,78,D20191014
uniform_160,160,uniform,20276824,51,79,D20191026
uniform_160,160,uniform,20276824,52,81,D20191119
uniform_160,160,uniform,20276824,53,82,D20191201
uniform_160,160,uniform,20276824,54,84,D20191225
uniform_160,160,uniform,20276824,55,85,D20200106
uniform_160,160,uniform,20276824,56,87,D20200130
uniform_160,160,uniform,20276824,57,89,D20200223
uniform_160,160,uniform,20276824,58,90,D20200306
uniform_160,160,uniform,20276824,59,92,D20200330
uniform_160,160,uniform,20276824,60,93,D20200411
uniform_160,160,uniform,20276824,61,95,D20200505
uniform_160,160,uniform,20276824,62,96,D20200517
uniform_160,160,uniform,20276824,63,98,D20200610
uniform_160,160,uniform,20276824,64,99,D20200622
uniform_160,160,uniform,20276824,65,101,D20200716
