classId,precision,recall,f1,support,rawPrecision,rawRecall,rawF1,scenario,epochs,method,className
3,0.9555555555555556,0.9662921348314607,0.9608938547486034,89,0.9555555555555556,0.9662921348314607,0.9608938547486034,front_sparse_back_dense_80,80,front_sparse_back_dense,Decelerating
4,0.9111111111111111,0.9318181818181818,0.9213483146067416,88,0.9101123595505618,0.9204545454545454,0.9152542372881356,front_sparse_back_dense_80,80,front_sparse_back_dense,Accelerating
5,0.8705882352941177,0.9024390243902439,0.8862275449101796,82,0.8636363636363636,0.926829268292683,0.8941176470588236,front_sparse_back_dense_80,80,front_sparse_back_dense,Undefined
0,0.967032967032967,0.9777777777777777,0.9723756906077348,90,0.967032967032967,0.9777777777777777,0.9723756906077348,uniform_60,60,uniform,Stable
1,0.9534883720930233,0.9213483146067416,0.9371428571428573,89,0.9540229885057471,0.9325842696629213,0.9431818181818182,uniform_60,60,uniform,Linear
2,0.8705882352941177,0.8705882352941177,0.8705882352941176,85,0.9012345679012346,0.8588235294117647,0.8795180722891566,uniform_60,60,uniform,Piecewise
3,0.9550561797752809,0.9550561797752809,0.9550561797752809,89,0.9550561797752809,0.9550561797752809,0.9550561797752809,uniform_60,60,uniform,Decelerating
4,0.9090909090909091,0.9090909090909091,0.9090909090909091,88,0.9090909090909091,0.9090909090909091,0.9090909090909091,uniform_60,60,uniform,Accelerating
5,0.8809523809523809,0.9024390243902439,0.8915662650602411,82,0.8735632183908046,0.926829268292683,0.8994082840236686,uniform_60,60,uniform,Undefined
0,0.9885057471264368,0.9555555555555556,0.9717514124293786,90,0.9885057471264368,0.9555555555555556,0.9717514124293786,random_missing_60,60,random_missing,Stable
1,0.9529411764705882,0.9101123595505618,0.9310344827586207,89,0.9425287356321839,0.9213483146067416,0.9318181818181818,random_missing_60,60,random_missing,Linear
2,0.8,0.8941176470588236,0.8444444444444443,85,0.8085106382978723,0.8941176470588236,0.8491620111731844,random_missing_60,60,random_missing,Piecewise
3,0.9662921348314607,0.9662921348314607,0.9662921348314607,89,0.9772727272727273,0.9662921348314607,0.9717514124293786,random_missing_60,60,random_missing,Decelerating
4,0.9058823529411765,0.875,0.8901734104046243,88,0.9047619047619048,0.8636363636363636,0.8837209302325582,random_missing_60,60,random_missing,Accelerating
5,0.8414634146341463,0.8414634146341463,0.8414634146341463,82,0.8433734939759037,0.8536585365853658,0.8484848484848484,random_missing_60,60,random_missing,Undefined
0,0.9438202247191011,0.9333333333333333,0.9385474860335196,90,0.9438202247191011,0.9333333333333333,0.9385474860335196,continuous_gap_60,60,continuous_gap,Stable
1,0.4965986394557823,0.8202247191011236,0.6186440677966103,89,0.4658385093167702,0.8426966292134831,0.6,continuous_gap_60,60,continuous_gap,Linear
2,0.4857142857142857,0.2,0.2833333333333333,85,0.3793103448275862,0.12941176470588237,0.1929824561403509,continuous_gap_60,60,continuous_gap,Piecewise
3,0.8045977011494253,0.7865168539325843,0.7954545454545455,89,0.8235294117647058,0.7865168539325843,0.8045977011494253,continuous_gap_60,60,continuous_gap,Decelerating
4,0.575,0.7840909090909091,0.6634615384615384,88,0.5701754385964912,0.7386363636363636,0.6435643564356436,continuous_gap_60,60,continuous_gap,Accelerating
5,0.7555555555555555,0.4146341463414634,0.5354330708661418,82,0.7555555555555555,0.4146341463414634,0.5354330708661418,continuous_gap_60,60,continuous_gap,Undefined
0,0.9887640449438202,0.9777777777777777,0.9832402234636872,90,0.9887640449438202,0.9777777777777777,0.9832402234636872,front_dense_back_sparse_60,60,front_dense_back_sparse,Stable
1,0.9425287356321839,0.9213483146067416,0.9318181818181818,89,0.9318181818181818,0.9213483146067416,0.9265536723163842,front_dense_back_sparse_60,60,front_dense_back_sparse,Linear
2,0.8409090909090909,0.8705882352941177,0.8554913294797689,85,0.8409090909090909,0.8705882352941177,0.8554913294797689,front_dense_back_sparse_60,60,front_dense_back_sparse,Piecewise
3,0.9550561797752809,0.9550561797752809,0.9550561797752809,89,0.9545454545454546,0.9438202247191011,0.9491525423728814,front_dense_back_sparse_60,60,front_dense_back_sparse,Decelerating
4,0.9166666666666666,0.875,0.8953488372093024,88,0.9166666666666666,0.875,0.8953488372093024,front_dense_back_sparse_60,60,front_dense_back_sparse,Accelerating
5,0.8604651162790697,0.9024390243902439,0.8809523809523809,82,0.8604651162790697,0.9024390243902439,0.8809523809523809,front_dense_back_sparse_60,60,front_dense_back_sparse,Undefined
0,0.9886363636363636,0.9666666666666667,0.9775280898876404,90,0.9886363636363636,0.9666666666666667,0.9775280898876404,front_sparse_back_dense_60,60,front_sparse_back_dense,Stable
1,0.9529411764705882,0.9101123595505618,0.9310344827586207,89,0.9534883720930233,0.9213483146067416,0.9371428571428573,front_sparse_back_dense_60,60,front_sparse_back_dense,Linear
2,0.8409090909090909,0.8705882352941177,0.8554913294797689,85,0.8588235294117647,0.8588235294117647,0.8588235294117647,front_sparse_back_dense_60,60,front_sparse_back_dense,Piecewise
3,0.9550561797752809,0.9550561797752809,0.9550561797752809,89,0.9659090909090909,0.9550561797752809,0.96045197740113,front_sparse_back_dense_60,60,front_sparse_back_dense,Decelerating
4,0.9090909090909091,0.9090909090909091,0.9090909090909091,88,0.9090909090909091,0.9090909090909091,0.9090909090909091,front_sparse_back_dense_60,60,front_sparse_back_dense,Accelerating
5,0.8705882352941177,0.9024390243902439,0.8862275449101796,82,0.8636363636363636,0.926829268292683,0.8941176470588236,front_sparse_back_dense_60,60,front_sparse_back_dense,Undefined
0,0.9775280898876404,0.9666666666666667,0.9720670391061451,90,0.9775280898876404,0.9666666666666667,0.9720670391061451,uniform_40,40,uniform,Stable
1,0.9418604651162791,0.9101123595505618,0.9257142857142857,89,0.9418604651162791,0.9101123595505618,0.9257142857142857,uniform_40,40,uniform,Linear
2,0.8620689655172413,0.8823529411764706,0.872093023255814,85,0.8604651162790697,0.8705882352941177,0.8654970760233918,uniform_40,40,uniform,Piecewise
3,0.9550561797752809,0.9550561797752809,0.9550561797752809,89,0.9545454545454546,0.9438202247191011,0.9491525423728814,uniform_40,40,uniform,Decelerating
4,0.9204545454545454,0.9204545454545454,0.9204545454545455,88,0.9204545454545454,0.9204545454545454,0.9204545454545455,uniform_40,40,uniform,Accelerating
5,0.8690476190476191,0.8902439024390244,0.8795180722891567,82,0.8488372093023255,0.8902439024390244,0.8690476190476191,uniform_40,40,uniform,Undefined
